Epoch 1, Loss_train: 0.024376286329586216, Loss_verif: 0.0033832296063583786
Epoch 2, Loss_train: 0.0036460308370627045, Loss_verif: 0.003087197717426471
Epoch 3, Loss_train: 0.003185862664085223, Loss_verif: 0.003637016409926348
Epoch 4, Loss_train: 0.0030629176742007656, Loss_verif: 0.004269444289612133
Epoch 5, Loss_train: 0.0030310773192284645, Loss_verif: 0.004847801493274787
Epoch 6, Loss_train: 0.003026355394513957, Loss_verif: 0.005082112554396065
Epoch 7, Loss_train: 0.003031116649627631, Loss_verif: 0.005364565230042791
Epoch 8, Loss_train: 0.0030417428356194253, Loss_verif: 0.005474054319503116
Epoch 9, Loss_train: 0.0030548667798709463, Loss_verif: 0.005614443416741269
Epoch 10, Loss_train: 0.003070086275025443, Loss_verif: 0.005868173947760416
Epoch 11, Loss_train: 0.0030872868934124094, Loss_verif: 0.005795853408274855
Epoch 12, Loss_train: 0.003105175293839894, Loss_verif: 0.006121946442352992
