Epoch 1, Loss_train: 0.03788850668855945, Loss_verif: 0.011843175154204792
Epoch 2, Loss_train: 0.0034044232842637594, Loss_verif: 0.014343472657585198
Epoch 3, Loss_train: 0.002830855552094367, Loss_verif: 0.018468613546672605
Epoch 4, Loss_train: 0.0027600830825520914, Loss_verif: 0.017517397896405777
Epoch 5, Loss_train: 0.002762705185461221, Loss_verif: 0.01757098205285762
Epoch 6, Loss_train: 0.0027970788367665403, Loss_verif: 0.017717137256454768
Epoch 7, Loss_train: 0.002845224632259993, Loss_verif: 0.016890063639178634
Epoch 8, Loss_train: 0.0029006908420719426, Loss_verif: 0.015253041359194999
Epoch 9, Loss_train: 0.0029604120037872725, Loss_verif: 0.013904079640865461
Epoch 10, Loss_train: 0.0030246991362393003, Loss_verif: 0.013759049481727133
Epoch 11, Loss_train: 0.0030920055972259485, Loss_verif: 0.01354058400254722
