Epoch 1, Loss_train: 0.02679310185437458, Loss_verif: 0.003809799956704635
Epoch 2, Loss_train: 0.0037769980228253975, Loss_verif: 0.0033577595397385708
Epoch 3, Loss_train: 0.003318794367999402, Loss_verif: 0.0034115383234900347
Epoch 4, Loss_train: 0.003202008402163009, Loss_verif: 0.0038263694387476103
Epoch 5, Loss_train: 0.003161942227818328, Loss_verif: 0.004320519051617097
Epoch 6, Loss_train: 0.003157471407123696, Loss_verif: 0.004456720155783408
Epoch 7, Loss_train: 0.0031634672152395403, Loss_verif: 0.004699830687604845
Epoch 8, Loss_train: 0.003173508092071092, Loss_verif: 0.004969510155806847
Epoch 9, Loss_train: 0.003186113488435352, Loss_verif: 0.005095194970522451
Epoch 10, Loss_train: 0.003198885442016202, Loss_verif: 0.005424240591226641
Epoch 11, Loss_train: 0.003213965393754508, Loss_verif: 0.005606443571234378
Epoch 12, Loss_train: 0.0032311807412209862, Loss_verif: 0.006245483102387996
