Epoch 1, Loss_train: 0.031152676959697055, Loss_verif: 0.005073189135628804
Epoch 2, Loss_train: 0.004261391730481892, Loss_verif: 0.005561629334577479
Epoch 3, Loss_train: 0.00340646500631423, Loss_verif: 0.007758312780277436
Epoch 4, Loss_train: 0.003310244231101066, Loss_verif: 0.008383174300696692
Epoch 5, Loss_train: 0.003299198294556066, Loss_verif: 0.0079540972881212
Epoch 6, Loss_train: 0.0033037417703003606, Loss_verif: 0.008458370032840397
Epoch 7, Loss_train: 0.0033120656090499913, Loss_verif: 0.008835001804289363
Epoch 8, Loss_train: 0.0033238265288983815, Loss_verif: 0.00899714575430281
Epoch 9, Loss_train: 0.003336793061747014, Loss_verif: 0.008990757925142251
Epoch 10, Loss_train: 0.0033514292554803725, Loss_verif: 0.008704173466913191
Epoch 11, Loss_train: 0.0033670336146683346, Loss_verif: 0.008640136657574637
