Epoch 1, Loss_train: 0.053438426461925204, Loss_verif: 0.005063903151259441
Epoch 2, Loss_train: 0.0047502234416860025, Loss_verif: 0.0033616870084196464
Epoch 3, Loss_train: 0.0035165519201529956, Loss_verif: 0.003191685948174857
Epoch 4, Loss_train: 0.0033198902120177183, Loss_verif: 0.003189506929542938
Epoch 5, Loss_train: 0.0032025924813292852, Loss_verif: 0.0033124833264165992
Epoch 6, Loss_train: 0.0031334301966793594, Loss_verif: 0.003448001483301504
Epoch 7, Loss_train: 0.003094574797860082, Loss_verif: 0.003530234767662344
Epoch 8, Loss_train: 0.0030789542716282738, Loss_verif: 0.0035566948919232354
Epoch 9, Loss_train: 0.003069729862335232, Loss_verif: 0.0035806970065246
Epoch 10, Loss_train: 0.003064247772659372, Loss_verif: 0.0036415390269788103
Epoch 11, Loss_train: 0.003060174604222059, Loss_verif: 0.003669401760418139
Epoch 12, Loss_train: 0.0030566663322692585, Loss_verif: 0.0036912509712279527
Epoch 13, Loss_train: 0.0030541085028794484, Loss_verif: 0.0036573837087233337
Epoch 14, Loss_train: 0.003051900750703238, Loss_verif: 0.003753182092049253
