Epoch 1, Loss_train: 0.037235726832496964, Loss_verif: 0.0033299657092370214
Epoch 2, Loss_train: 0.003938183712745615, Loss_verif: 0.0032195600944003567
Epoch 3, Loss_train: 0.003805417146399012, Loss_verif: 0.00357394624564348
Epoch 4, Loss_train: 0.003881058720115359, Loss_verif: 0.0040632721300518995
Epoch 5, Loss_train: 0.004082219632951865, Loss_verif: 0.004503657063936651
Epoch 6, Loss_train: 0.004333153638386125, Loss_verif: 0.004753636298862619
Epoch 7, Loss_train: 0.004608657704562139, Loss_verif: 0.005038498085923493
