Epoch 1, Loss_train: 0.03566319072190332, Loss_verif: 0.0056855612618730705
Epoch 2, Loss_train: 0.003927141317900985, Loss_verif: 0.004988164473256123
Epoch 3, Loss_train: 0.00341449719167099, Loss_verif: 0.005594050510641372
Epoch 4, Loss_train: 0.003390159684080335, Loss_verif: 0.0058633695043092985
Epoch 5, Loss_train: 0.003423055299642333, Loss_verif: 0.005801293754608293
Epoch 6, Loss_train: 0.0034717041867808186, Loss_verif: 0.005945767953060137
Epoch 7, Loss_train: 0.003525460263269088, Loss_verif: 0.006439055492683825
