Epoch 1, Loss_train: 0.034372894212634564, Loss_verif: 0.006661812039854291
Epoch 2, Loss_train: 0.004194786969663996, Loss_verif: 0.005302838433682023
Epoch 3, Loss_train: 0.0034219813444342803, Loss_verif: 0.007613344250399304
Epoch 4, Loss_train: 0.003306480920640052, Loss_verif: 0.009478616885155425
Epoch 5, Loss_train: 0.003284479683671454, Loss_verif: 0.009567302461822056
Epoch 6, Loss_train: 0.00328347028728367, Loss_verif: 0.009633229601089734
Epoch 7, Loss_train: 0.0032925478272916595, Loss_verif: 0.009401107619857131
