Epoch 1, Loss_train: 0.026023974344057732, Loss_verif: 0.0034528321681682097
Epoch 2, Loss_train: 0.0036293899307233003, Loss_verif: 0.0028958735154121025
Epoch 3, Loss_train: 0.003165338916796829, Loss_verif: 0.0028427011736496684
Epoch 4, Loss_train: 0.0030805468251271207, Loss_verif: 0.0028406678517204345
Epoch 5, Loss_train: 0.0030296861434192393, Loss_verif: 0.002973779822402622
Epoch 6, Loss_train: 0.0029646201650847174, Loss_verif: 0.0033761011361028706
Epoch 7, Loss_train: 0.0029276916382207476, Loss_verif: 0.003585675989564549
Epoch 8, Loss_train: 0.0029075951060130835, Loss_verif: 0.003908354142988083
Epoch 9, Loss_train: 0.002895813800014942, Loss_verif: 0.003970631729735664
Epoch 10, Loss_train: 0.0028874428772791175, Loss_verif: 0.004108959511735424
Epoch 11, Loss_train: 0.0028802593936984103, Loss_verif: 0.004259853294567023
Epoch 12, Loss_train: 0.0028741728578372235, Loss_verif: 0.004205498928025406
Epoch 13, Loss_train: 0.0028695851428336802, Loss_verif: 0.00431643728502231
Epoch 14, Loss_train: 0.002865681204300562, Loss_verif: 0.004470582635795708
