Epoch 1, Loss_train: 0.04170810484294493, Loss_verif: 0.004224633264348997
Epoch 2, Loss_train: 0.00340805031504516, Loss_verif: 0.003955128160040138
Epoch 3, Loss_train: 0.0028316592584960248, Loss_verif: 0.008731873602455732
Epoch 4, Loss_train: 0.002616300484736223, Loss_verif: 0.01010199282360783
Epoch 5, Loss_train: 0.0025663430643944676, Loss_verif: 0.011497779785823035
Epoch 6, Loss_train: 0.0025512334122693757, Loss_verif: 0.012147444610935816
Epoch 7, Loss_train: 0.0025537006514028122, Loss_verif: 0.013136770349242015
