Epoch 1, Loss_train: 0.04034075057796956, Loss_verif: 0.004311519120167554
Epoch 2, Loss_train: 0.004483284297798915, Loss_verif: 0.0034698642355657275
Epoch 3, Loss_train: 0.003464464524972634, Loss_verif: 0.0034041549110336473
Epoch 4, Loss_train: 0.00330998346406251, Loss_verif: 0.0034736520428833963
Epoch 5, Loss_train: 0.0032660606822917148, Loss_verif: 0.0035152891451657384
Epoch 6, Loss_train: 0.0032488281257138057, Loss_verif: 0.00351701504025579
Epoch 7, Loss_train: 0.0032404084482858947, Loss_verif: 0.003588974190500431
Epoch 8, Loss_train: 0.0032336841024646094, Loss_verif: 0.003624149218095717
Epoch 9, Loss_train: 0.0032280719920718213, Loss_verif: 0.0037072729829559295
Epoch 10, Loss_train: 0.0032235654562785755, Loss_verif: 0.003753913936867855
Epoch 11, Loss_train: 0.003220335554311309, Loss_verif: 0.003719015925854851
Epoch 12, Loss_train: 0.003217690142600358, Loss_verif: 0.003761073404994556
Epoch 13, Loss_train: 0.0032153901092403336, Loss_verif: 0.003779757398809726
