Epoch 1, Loss_train: 0.04075724266836492, Loss_verif: 0.003126777909220894
Epoch 2, Loss_train: 0.003272662995487095, Loss_verif: 0.0025549627515935
Epoch 3, Loss_train: 0.002763705123544741, Loss_verif: 0.0027052644971155633
Epoch 4, Loss_train: 0.0026265914150957093, Loss_verif: 0.003467404519383857
Epoch 5, Loss_train: 0.0025338403126946175, Loss_verif: 0.004182407832099867
Epoch 6, Loss_train: 0.0024735371922174625, Loss_verif: 0.004860883668608166
Epoch 7, Loss_train: 0.0024368167608225366, Loss_verif: 0.005447598854779925
Epoch 8, Loss_train: 0.0024168594986420963, Loss_verif: 0.005788513334098872
Epoch 9, Loss_train: 0.0024037762598085786, Loss_verif: 0.006052594185554356
Epoch 10, Loss_train: 0.0023915843274401913, Loss_verif: 0.006423240475322636
Epoch 11, Loss_train: 0.002381113253890246, Loss_verif: 0.006399505337220797
Epoch 12, Loss_train: 0.002373448122453988, Loss_verif: 0.006695233460235705
