Epoch 1, Loss_train: 0.02893513803479302, Loss_verif: 0.0033898768137356973
Epoch 2, Loss_train: 0.003852525084839801, Loss_verif: 0.0029907605046131072
Epoch 3, Loss_train: 0.003176871092268441, Loss_verif: 0.00319303835864964
Epoch 4, Loss_train: 0.002956897422415061, Loss_verif: 0.004768383187024317
Epoch 5, Loss_train: 0.002902731411751872, Loss_verif: 0.004905826924326252
Epoch 6, Loss_train: 0.002894148666572277, Loss_verif: 0.005170782062906541
Epoch 7, Loss_train: 0.0028979965642234, Loss_verif: 0.005281130964255953
Epoch 8, Loss_train: 0.0029059278370441536, Loss_verif: 0.005379707095116364
Epoch 9, Loss_train: 0.0029174509137816183, Loss_verif: 0.005404794469508037
Epoch 10, Loss_train: 0.0029321717751853485, Loss_verif: 0.005397786084650914
Epoch 11, Loss_train: 0.0029484976862117177, Loss_verif: 0.005583139057832015
Epoch 12, Loss_train: 0.0029662579108163892, Loss_verif: 0.005608080616509746
