Epoch 1, Loss_train: 0.0029194116929487385, Loss_verif: 0.0028364309418737357
Epoch 2, Loss_train: 0.002828458131599621, Loss_verif: 0.0028224338047179746
Epoch 3, Loss_train: 0.0028254798823735285, Loss_verif: 0.002818850790211778
Epoch 4, Loss_train: 0.002822704861821353, Loss_verif: 0.0028293171103318912
Epoch 5, Loss_train: 0.002820406430063492, Loss_verif: 0.0028186948915094345
Epoch 6, Loss_train: 0.002819096964518335, Loss_verif: 0.0028245437989678503
Epoch 7, Loss_train: 0.002818073148431319, Loss_verif: 0.0028188579796286964
Epoch 8, Loss_train: 0.00281716784261765, Loss_verif: 0.002824758010669811
Epoch 9, Loss_train: 0.0028162606897189626, Loss_verif: 0.002819281491274653
Epoch 10, Loss_train: 0.0028128416332180717, Loss_verif: 0.0028219371137867683
