Epoch 1, Loss_train: 0.004623143623727536, Loss_verif: 0.002376459484411223
Epoch 2, Loss_train: 0.002365305062898833, Loss_verif: 0.0023151634165233356
Epoch 3, Loss_train: 0.002352398130362666, Loss_verif: 0.002345855411192232
Epoch 4, Loss_train: 0.00234497773771202, Loss_verif: 0.0023066556301952978
Epoch 5, Loss_train: 0.002341782156729745, Loss_verif: 0.002321977633857064
Epoch 6, Loss_train: 0.0023392371191289342, Loss_verif: 0.0023837324311482147
Epoch 7, Loss_train: 0.0023349830617227416, Loss_verif: 0.00230941352256065
Epoch 8, Loss_train: 0.0023300931109656925, Loss_verif: 0.00232534811085146
Epoch 9, Loss_train: 0.0023291974621986187, Loss_verif: 0.0023554996721844835
