Epoch 1, Loss_train: 0.004717371737559497, Loss_verif: 0.0029367371009048266
Epoch 2, Loss_train: 0.0029252989059759195, Loss_verif: 0.0029235978626650262
Epoch 3, Loss_train: 0.0029209886296791966, Loss_verif: 0.0029229618790299794
Epoch 4, Loss_train: 0.002919523974241746, Loss_verif: 0.0029267845935160826
Epoch 5, Loss_train: 0.0029186396784008336, Loss_verif: 0.002928613529371141
Epoch 6, Loss_train: 0.0029179220383974236, Loss_verif: 0.002914084772673539
Epoch 7, Loss_train: 0.002917625553147223, Loss_verif: 0.002920261418404134
Epoch 8, Loss_train: 0.0029171520874439797, Loss_verif: 0.002918548795305978
Epoch 9, Loss_train: 0.0029166536729206692, Loss_verif: 0.002921951446891984
Epoch 10, Loss_train: 0.0029163065286479813, Loss_verif: 0.0029152000470000126
Epoch 11, Loss_train: 0.0029157860636872387, Loss_verif: 0.0029139615971847583
Epoch 12, Loss_train: 0.0029154014149565467, Loss_verif: 0.0029193350666024617
Epoch 13, Loss_train: 0.0029137618614541276, Loss_verif: 0.0029216587628962763
Epoch 14, Loss_train: 0.0029093356327886013, Loss_verif: 0.002918867587860425
Epoch 15, Loss_train: 0.002907658448547038, Loss_verif: 0.0029280313955607987
Epoch 16, Loss_train: 0.00290714756955956, Loss_verif: 0.0029139207138780274
Epoch 17, Loss_train: 0.0029067844936512956, Loss_verif: 0.0029175987206931596
Epoch 18, Loss_train: 0.0029064741359599152, Loss_verif: 0.002909984185811903
Epoch 19, Loss_train: 0.002906232082703954, Loss_verif: 0.0029152947711200247
Epoch 20, Loss_train: 0.002906020607000901, Loss_verif: 0.002912794165674767
Epoch 21, Loss_train: 0.0029058484834922084, Loss_verif: 0.0029094623728011895
Epoch 22, Loss_train: 0.0029057594355701233, Loss_verif: 0.002919268005644971
Epoch 23, Loss_train: 0.0029056133641654856, Loss_verif: 0.0029114418693664693
Epoch 24, Loss_train: 0.002905469943110541, Loss_verif: 0.002914632065842869
Epoch 25, Loss_train: 0.002905222848394746, Loss_verif: 0.002912697210694328
Epoch 26, Loss_train: 0.00290519330076923, Loss_verif: 0.0029101075723892695
