Epoch 1, Loss_train: 0.0037047369828943563, Loss_verif: 0.0029420629442318273
Epoch 2, Loss_train: 0.0029254913449922137, Loss_verif: 0.0029323419919437986
Epoch 3, Loss_train: 0.0029237251141226617, Loss_verif: 0.0029310285030622846
Epoch 4, Loss_train: 0.002928103547861448, Loss_verif: 0.0029429933845134745
Epoch 5, Loss_train: 0.0029344192902217513, Loss_verif: 0.0029505228796351235
Epoch 6, Loss_train: 0.0029410707294303664, Loss_verif: 0.002953571322174408
Epoch 7, Loss_train: 0.002947874229916107, Loss_verif: 0.002972982823835394
Epoch 8, Loss_train: 0.002954845836207793, Loss_verif: 0.002976719901808392
