Epoch 1, Loss_train: 0.0031858690364847926, Loss_verif: 0.0029782554479718905
Epoch 2, Loss_train: 0.0030461576244958533, Loss_verif: 0.002956139215400694
Epoch 3, Loss_train: 0.0030426250581544723, Loss_verif: 0.0029644697377833383
Epoch 4, Loss_train: 0.0030411152867520575, Loss_verif: 0.0029514718804877233
Epoch 5, Loss_train: 0.003039972692491092, Loss_verif: 0.0029494861547543164
Epoch 6, Loss_train: 0.0030392500849846654, Loss_verif: 0.0029602912933875975
Epoch 7, Loss_train: 0.0030387110516216505, Loss_verif: 0.002960501333585272
Epoch 8, Loss_train: 0.0030380890474346173, Loss_verif: 0.0029498663123906105
Epoch 9, Loss_train: 0.0030377858498361046, Loss_verif: 0.002977842707058798
Epoch 10, Loss_train: 0.0030374261884872377, Loss_verif: 0.0029578241800898306
