Epoch 1, Loss_train: 0.0026706825840101095, Loss_verif: 0.0026593059951371886
Epoch 2, Loss_train: 0.0026097148508157407, Loss_verif: 0.0026543358729363723
Epoch 3, Loss_train: 0.00260651661755899, Loss_verif: 0.0026482304702234046
Epoch 4, Loss_train: 0.0026035713724803316, Loss_verif: 0.002668800711117004
Epoch 5, Loss_train: 0.002603329427208053, Loss_verif: 0.0026703156180611335
Epoch 6, Loss_train: 0.002605397174108008, Loss_verif: 0.002750997351273275
Epoch 7, Loss_train: 0.0026075359210931234, Loss_verif: 0.002696238812334839
Epoch 8, Loss_train: 0.002609912477324657, Loss_verif: 0.0026631387375108746
