Epoch 1, Loss_train: 0.0027234706278367713, Loss_verif: 0.0026686343589147287
Epoch 2, Loss_train: 0.002626935307255905, Loss_verif: 0.00266520694810608
Epoch 3, Loss_train: 0.0026273245398478378, Loss_verif: 0.002706053508392958
Epoch 4, Loss_train: 0.002630612404252656, Loss_verif: 0.002689356764476061
Epoch 5, Loss_train: 0.0026344758681923377, Loss_verif: 0.002689015166844744
Epoch 6, Loss_train: 0.002639185326503521, Loss_verif: 0.002692430041863995
Epoch 7, Loss_train: 0.002644156020528026, Loss_verif: 0.002696603561217556
