Epoch 1, Loss_train: 0.00283690691825345, Loss_verif: 0.002571212291594388
Epoch 2, Loss_train: 0.002608572753020665, Loss_verif: 0.002570698562968347
Epoch 3, Loss_train: 0.002601620653887003, Loss_verif: 0.0025638543893042915
Epoch 4, Loss_train: 0.0025937749522581643, Loss_verif: 0.0025700402143714407
Epoch 5, Loss_train: 0.0025826099770141927, Loss_verif: 0.0025475152832689666
Epoch 6, Loss_train: 0.002577484813058424, Loss_verif: 0.002553779883505864
Epoch 7, Loss_train: 0.0025714191292790147, Loss_verif: 0.0025348197082726474
Epoch 8, Loss_train: 0.002568667549757432, Loss_verif: 0.0025522481072237867
Epoch 9, Loss_train: 0.0025676284662549623, Loss_verif: 0.002538409443017815
Epoch 10, Loss_train: 0.0025666720671501625, Loss_verif: 0.0025649198893236253
Epoch 11, Loss_train: 0.0025660091238053294, Loss_verif: 0.0025314494331576164
Epoch 12, Loss_train: 0.0025651265311506565, Loss_verif: 0.0025415001795166727
Epoch 13, Loss_train: 0.0025642599756535447, Loss_verif: 0.0025315306018731704
Epoch 14, Loss_train: 0.002563642737065072, Loss_verif: 0.0025301627294582805
Epoch 15, Loss_train: 0.002562727123753943, Loss_verif: 0.0025367444311013413
Epoch 16, Loss_train: 0.002561864639151378, Loss_verif: 0.0025350451434329306
Epoch 17, Loss_train: 0.0025611169109622726, Loss_verif: 0.0025423616612990237
Epoch 18, Loss_train: 0.0025597134596570467, Loss_verif: 0.002525370321142972
Epoch 19, Loss_train: 0.0025580405962434103, Loss_verif: 0.0025333427724865106
Epoch 20, Loss_train: 0.0025568208166437236, Loss_verif: 0.0025284208155714177
Epoch 21, Loss_train: 0.0025558383430454032, Loss_verif: 0.0025412651447978677
Epoch 22, Loss_train: 0.0025551330001943643, Loss_verif: 0.002542506425386687
Epoch 23, Loss_train: 0.0025545980921788678, Loss_verif: 0.0025488450853480525
