Epoch 1, Loss_train: 0.0029256232095317804, Loss_verif: 0.0027584773047902795
Epoch 2, Loss_train: 0.002639437346739644, Loss_verif: 0.002680463205122795
Epoch 3, Loss_train: 0.002647070018590338, Loss_verif: 0.0027360655213540365
Epoch 4, Loss_train: 0.0026556814439477236, Loss_verif: 0.0027109917668394507
Epoch 5, Loss_train: 0.002665352119804366, Loss_verif: 0.0027334405325293853
Epoch 6, Loss_train: 0.0026741721689295616, Loss_verif: 0.0027448387267491403
Epoch 7, Loss_train: 0.002682769708791402, Loss_verif: 0.0027373774773604954
