Epoch 1 cost 1391.4848103523254 s.
Epoch 2 cost 1397.5369017124176 s.
Epoch 3 cost 1421.1011800765991 s.
Epoch 4 cost 1405.2033698558807 s.
Epoch 5 cost 1374.946436882019 s.
Epoch 6 cost 1375.0120739936829 s.
Epoch 7 cost 1380.6197333335876 s.
Epoch 8 cost 1384.4897286891937 s.
Epoch 9 cost 1387.4769072532654 s.
Epoch 10 cost 1388.4416358470917 s.
Epoch 11 cost 1390.4860434532166 s.
Epoch 12 cost 1387.4775273799896 s.
Epoch 13 cost 1393.0917327404022 s.
Epoch 14 cost 1386.532832622528 s.
Epoch 15 cost 1382.2798018455505 s.
Epoch 16 cost 1387.820158481598 s.
