Epoch 1, Loss_train: 0.0025616576959154305, Loss_verif: 0.0024522736169546606
Epoch 2, Loss_train: 0.002406294034605514, Loss_verif: 0.0024666677733484518
Epoch 3, Loss_train: 0.0023747713926326516, Loss_verif: 0.002361233866284678
Epoch 4, Loss_train: 0.00232685202757356, Loss_verif: 0.0024366609642425393
Epoch 5, Loss_train: 0.002318088453428446, Loss_verif: 0.0024341468950929046
Epoch 6, Loss_train: 0.0023103461585356035, Loss_verif: 0.002424887551017483
Epoch 7, Loss_train: 0.0023043601389917162, Loss_verif: 0.002394202330212971
Epoch 8, Loss_train: 0.0023012963372451055, Loss_verif: 0.002345198828598313
Epoch 9, Loss_train: 0.002299031488614646, Loss_verif: 0.0023458846482267716
Epoch 10, Loss_train: 0.0022974049085342507, Loss_verif: 0.0023919463945155975
Epoch 11, Loss_train: 0.002294945205345398, Loss_verif: 0.0023571823851155816
Epoch 12, Loss_train: 0.00229335163129292, Loss_verif: 0.0024237358717426713
Epoch 13, Loss_train: 0.002292022215091167, Loss_verif: 0.0023455874270089613
