Epoch 1, Loss_train: 0.0030437998218162364, Loss_verif: 0.0026859125509014667
Epoch 2, Loss_train: 0.0026139291260911983, Loss_verif: 0.002688190547634832
Epoch 3, Loss_train: 0.0026068278922746174, Loss_verif: 0.0026761834529365485
Epoch 4, Loss_train: 0.0026073177633312364, Loss_verif: 0.0026624101097581336
Epoch 5, Loss_train: 0.0026090359054417103, Loss_verif: 0.0026607434015302363
Epoch 6, Loss_train: 0.0026098235319400804, Loss_verif: 0.0026743366196493655
Epoch 7, Loss_train: 0.0026107867493151147, Loss_verif: 0.0026744426250192087
Epoch 8, Loss_train: 0.002612105548062134, Loss_verif: 0.0026657172334665523
Epoch 9, Loss_train: 0.0026134763497014488, Loss_verif: 0.0026681755354540804
Epoch 10, Loss_train: 0.0026145489059934955, Loss_verif: 0.0026822904509132017
