Epoch 1, Loss_train: 0.0026850199140482905, Loss_verif: 0.002794056277114569
Epoch 2, Loss_train: 0.002632540903248052, Loss_verif: 0.00268844408690441
Epoch 3, Loss_train: 0.002621993255222918, Loss_verif: 0.0026861978945676712
Epoch 4, Loss_train: 0.0026102211997783334, Loss_verif: 0.002681222921008598
Epoch 5, Loss_train: 0.002602927750555257, Loss_verif: 0.0026916911157465967
Epoch 6, Loss_train: 0.002599799177686923, Loss_verif: 0.002676565814333532
Epoch 7, Loss_train: 0.002597434091746584, Loss_verif: 0.0026701114473820287
Epoch 8, Loss_train: 0.0025960436576806926, Loss_verif: 0.002707307708933719
Epoch 9, Loss_train: 0.002595449935243508, Loss_verif: 0.0026585296055326125
Epoch 10, Loss_train: 0.0025954570479581845, Loss_verif: 0.0026744812944448386
Epoch 11, Loss_train: 0.002595133872621016, Loss_verif: 0.002643866975280714
Epoch 12, Loss_train: 0.0025946796727129807, Loss_verif: 0.0026603890118617546
Epoch 13, Loss_train: 0.002594303794234486, Loss_verif: 0.002662170649329976
Epoch 14, Loss_train: 0.002593893349050507, Loss_verif: 0.002660951179531264
Epoch 15, Loss_train: 0.0025932798548263768, Loss_verif: 0.002670996290396229
Epoch 16, Loss_train: 0.002592848809153397, Loss_verif: 0.0026585767694412904
