Epoch 1, Loss_train: 0.0027313384270942374, Loss_verif: 0.0027267919937643613
Epoch 2, Loss_train: 0.0026405308762950798, Loss_verif: 0.0027189536146469437
Epoch 3, Loss_train: 0.002632917417172992, Loss_verif: 0.0026877769287722906
Epoch 4, Loss_train: 0.0026270210205033683, Loss_verif: 0.0026852119654829955
Epoch 5, Loss_train: 0.0026223480899124053, Loss_verif: 0.002664911189053074
Epoch 6, Loss_train: 0.002613799603593828, Loss_verif: 0.002671261037088938
Epoch 7, Loss_train: 0.0026078996138042807, Loss_verif: 0.0026729713215244777
Epoch 8, Loss_train: 0.002602304850376155, Loss_verif: 0.0026625714114318546
Epoch 9, Loss_train: 0.002599684985530107, Loss_verif: 0.002666103325180306
Epoch 10, Loss_train: 0.0025973367347628283, Loss_verif: 0.0026554305647913047
Epoch 11, Loss_train: 0.0025947620639713014, Loss_verif: 0.002664444083587048
Epoch 12, Loss_train: 0.002592545263067277, Loss_verif: 0.0026452160962390273
Epoch 13, Loss_train: 0.002590252688115863, Loss_verif: 0.0026531626902328064
Epoch 14, Loss_train: 0.0025890946574697346, Loss_verif: 0.002650962602964041
Epoch 15, Loss_train: 0.002588248727691261, Loss_verif: 0.0026447919405102396
Epoch 16, Loss_train: 0.0025872637735524884, Loss_verif: 0.0026508308726628724
Epoch 17, Loss_train: 0.0025865210384355243, Loss_verif: 0.0026597033248246266
Epoch 18, Loss_train: 0.002585642128290477, Loss_verif: 0.0026590123986737755
Epoch 19, Loss_train: 0.002584504170233586, Loss_verif: 0.002631202846170968
Epoch 20, Loss_train: 0.002583633949920991, Loss_verif: 0.002633698056054051
Epoch 21, Loss_train: 0.002582838438502642, Loss_verif: 0.0026742881720539674
Epoch 22, Loss_train: 0.002581051135198837, Loss_verif: 0.0026468577709744994
Epoch 23, Loss_train: 0.0025792267749085484, Loss_verif: 0.0026336378912642355
Epoch 24, Loss_train: 0.0025780509607869094, Loss_verif: 0.0026429357426646758
