Epoch 1, Loss_train: 0.008665323196454206, Loss_verif: 0.0034591872109237757
Epoch 2, Loss_train: 0.004026458111956529, Loss_verif: 0.0029308590843786257
Epoch 3, Loss_train: 0.003737379400513574, Loss_verif: 0.0030734189557855645
Epoch 4, Loss_train: 0.003901552125400013, Loss_verif: 0.0033113359559179645
Epoch 5, Loss_train: 0.004132069715358113, Loss_verif: 0.003574706398484653
Epoch 6, Loss_train: 0.004392513693978582, Loss_verif: 0.003855762821868395
Epoch 7, Loss_train: 0.004668796071273557, Loss_verif: 0.00415058582484189
Epoch 8, Loss_train: 0.004947077388427558, Loss_verif: 0.004432622524981838
Epoch 9, Loss_train: 0.0052337112702887535, Loss_verif: 0.0047480122571676945
Epoch 10, Loss_train: 0.005523857151228162, Loss_verif: 0.005086601395991952
Epoch 11, Loss_train: 0.0058420580817102235, Loss_verif: 0.005448610101611699
Epoch 12, Loss_train: 0.006174248381961214, Loss_verif: 0.005806694706730416
