Epoch 1 cost 502.6645519733429 s.
Epoch 2 cost 496.3478829860687 s.
Epoch 3 cost 486.95110607147217 s.
Epoch 4 cost 491.3785710334778 s.
Epoch 5 cost 488.1310739517212 s.
Epoch 6 cost 484.716374874115 s.
Epoch 7 cost 494.1920840740204 s.
Epoch 8 cost 489.75023007392883 s.
Epoch 9 cost 506.58679008483887 s.
Epoch 10 cost 478.40741086006165 s.
Epoch 11 cost 477.6361529827118 s.
Epoch 12 cost 530.6104519367218 s.
Epoch 13 cost 479.63798809051514 s.
Epoch 14 cost 516.354406118393 s.
Epoch 15 cost 478.5578911304474 s.
Epoch 16 cost 530.5370988845825 s.
