Epoch 1 cost 530.0550620555878 s.
Epoch 2 cost 521.9612560272217 s.
Epoch 3 cost 515.7409620285034 s.
Epoch 4 cost 522.0180342197418 s.
Epoch 5 cost 552.2704100608826 s.
Epoch 6 cost 540.293702840805 s.
Epoch 7 cost 544.3400008678436 s.
Epoch 8 cost 540.1499080657959 s.
Epoch 9 cost 552.4904770851135 s.
Epoch 10 cost 576.4768688678741 s.
Epoch 11 cost 533.4107730388641 s.
Epoch 12 cost 537.4918990135193 s.
Epoch 13 cost 539.1336400508881 s.
Epoch 14 cost 519.2419929504395 s.
Epoch 15 cost 542.6560220718384 s.
Epoch 16 cost 564.8177719116211 s.
Epoch 17 cost 580.9583649635315 s.
Epoch 18 cost 554.3065071105957 s.
